job_offer_id,client_name,job_offer_name,job_tag,job_offer_areas,job_offer_skill_names,employee_count,established,job_offer_min_salary,job_offer_max_salary,avg_salary
223810,株式会社 パソナ,【全国】AIシステム開発,その他,"['東京都', '神奈川県', '千葉県', '埼玉県', '愛知県', '島根県', '福岡県']","['C#', 'JavaScript', 'PHP', 'Python', 'TypeScript', 'AWS', 'IoT', 'Azure']",7860,1998-01-31 15:00:00,450,800.0,625.0
101241,エフアンドエムネット 株式会社,AIエンジニア,AIエンジニア,['大阪府'],"['JavaScript', 'PHP', 'Python', 'AWS', 'MySQL', 'TensorFlow', 'Azure', 'Keras', 'GCP', 'SQLServer']",137,2000-08-31 15:00:00,650,1000.0,825.0
270657,LINEヤフーコミュニケーションズ 株式会社,データエンジニア / 運営DX,データエンジニア,['福岡県'],"['SQL', 'Python']",1650,2013-10-31 15:00:00,550,800.0,675.0
285717,ワークスアイディ 株式会社,データサイエンティスト（東京・大阪・福岡）,データサイエンティスト,"['東京都', '大阪府', '福岡県']","['SQL', 'Python', 'R', 'AWS', 'Azure', 'GCP']",1538,1999-06-30 15:00:00,392,700.0,546.0
292280,株式会社 ベガコーポレーション,【福岡勤務】生成AIエンジニア,AIエンジニア,['福岡県'],"['Python', 'AWS']",244,2004-06-30 15:00:00,500,750.0,625.0
284151,株式会社 パソナグループ,データソリューションアーキテクト　※東京勤務,その他,['東京都'],"['SQL', 'AWS']",25046,1976-01-31 15:00:00,460,950.0,705.0
266272,株式会社 Hinode Labo,DX/AIシステムエンジニア,その他,"['東京都', 'フルリモート']",[],30,2017-06-30 15:00:00,800,1500.0,1150.0
204681,株式会社 LIFULL,シニアデータサイエンティスト/R&D,データサイエンティスト,['東京都'],"['SQL', 'Python', 'R']",1696,1997-02-28 15:00:00,810,1200.0,1005.0
288468,ファーストアカウンティング 株式会社,機械学習エンジニア（シニアAIエンジニア）,AIエンジニア,['東京都'],['Python'],109,2016-05-31 15:00:00,700,1200.0,950.0
240189,アイ・モバイル 株式会社,AIエンジニア,AIエンジニア,"['東京都', 'フルリモート']","['SQL', 'Python', 'AWS', 'TensorFlow']",106,2007-07-31 15:00:00,600,900.0,750.0
284597,ブルーテック 株式会社,バックエンドエンジニア（AI機能研究開発エンジニア）,その他,['東京都'],['GCP'],130,2006-09-30 15:00:00,450,800.0,625.0
273251,株式会社 レイエントシステム,BIエンジニア,その他,"['東京都', '神奈川県']",[],40,2008-05-31 15:00:00,440,750.0,595.0
169960,株式会社 ヤプリ,機械学習エンジニア（MLエンジニア）,AIエンジニア,"['東京都', 'フルリモート']","['Python', 'R', 'AWS', 'GCP']",270,2013-03-31 15:00:00,500,1000.0,750.0
210351,Institution for a Global Society 株式会社,データサイエンティスト,データサイエンティスト,"['東京都', '神奈川県', '千葉県', '埼玉県']","['SQL', 'Python', 'R']",52,2010-04-30 15:00:00,600,800.0,700.0
279733,株式会社 メドコム,生成AI活用アプリケーションエンジニア（生成AI・LLM活用）,その他,['東京都'],[],84,2016-06-30 15:00:00,600,900.0,750.0
286981,株式会社 ログラス,AIオペレーションマネージャー,その他,['東京都'],[],200,2019-04-30 15:00:00,600,1200.0,900.0
285140,株式会社 ミックウェア,機械学習エンジニア（MAC）,AIエンジニア,"['東京都', '神奈川県', '兵庫県']","['Python', 'AWS', 'Lambda', 'pandas', 'scikit-learn']",489,2003-02-28 15:00:00,600,900.0,750.0
277669,株式会社 Red Frasco,データエンジニア,データエンジニア,['東京都'],"['SQL', 'Python', 'Go', 'Kubernetes', 'Google Kubernetes Engine']",30,2019-11-30 15:00:00,600,1200.0,900.0
261100,株式会社 パートナー,COBOL経験者募集【九州】,その他,['福岡県'],['COBOL'],416,2003-11-30 15:00:00,380,900.0,640.0
286264,株式会社 ワンゴジュウゴ,◆HI:C++エンジニア◆,その他,['東京都'],"['C', 'C++']",211,1994-12-31 15:00:00,300,750.0,525.0
261100,株式会社 パートナー,COBOL経験者募集【九州】,その他,['福岡県'],['COBOL'],416,2003-11-30 15:00:00,380,900.0,640.0
177401,株式会社 エクストリーム,IT/データ分析エンジニア,その他,['東京都'],"['C#', 'SQL', 'Ruby', 'Java', 'Python']",671,2005-04-30 15:00:00,400,900.0,650.0
278521,株式会社 リーデックス,【プロンプトエンジニア】,その他,"['東京都', '神奈川県', '千葉県', '埼玉県']","['PHP', 'Java', 'Python']",55,2004-03-31 15:00:00,400,900.0,650.0
285588,パーソルクロステクノロジー 株式会社,【スマートファクトリー(製造DX)／東海】AI・IoT技術を活用し製造DX実現に貢献,その他,"['愛知県', '三重県']",[],9706,1979-09-30 15:00:00,450,800.0,625.0
227755,ClipLine 株式会社,データエンジニア,データエンジニア,['東京都'],"['SQL', 'Python', 'R', 'AWS', 'GCP']",66,2013-06-30 15:00:00,500,1000.0,750.0
